originName, DestinationName, dateOut, flightPrice, flightDuration, faresLeft, flightKey


Brussels,Malaga,2023-03-14T00:00:00.000,88.82,02:50,1,FR~2923~ ~~BRU~03/14/2023 20:10~AGP~03/14/2023 23:00~~

Brussels (Charleroi),Alicante,2023-03-14T00:00:00.000,87.99,02:25,-1,FR~3534~ ~~CRL~03/14/2023 13:15~ALC~03/14/2023 15:40~~

Brussels (Charleroi),Malaga,2023-03-14T00:00:00.000,111.74,02:45,5,FR~1928~ ~~CRL~03/14/2023 08:30~AGP~03/14/2023 11:15~~

Brussels (Charleroi),Tenerife (South),2023-03-14T00:00:00.000,59.25,04:30,1,FR~ 563~ ~~CRL~03/14/2023 06:45~TFS~03/14/2023 10:15~~

Brussels (Charleroi),Brindisi,2023-03-14T00:00:00.000,14.99,02:30,-1,FR~7737~ ~~CRL~03/14/2023 06:20~BDS~03/14/2023 08:50~~

Brussels (Charleroi),Naples,2023-03-14T00:00:00.000,78.67,02:10,-1,FR~1310~ ~~CRL~03/14/2023 19:30~NAP~03/14/2023 21:40~~
