originName,destinationName,dateOut,prijs,timeOut,timeArrival,flightDuration,plaatsenOver,flightKey,flightNumber
Brussels (Charleroi),Alicante,2023-04-27T00:00:00.000,None,02:25,0,FR~3534~ ~~CRL~04/27/2023 15:05~ALC~04/27/2023 17:30~~,FR 3534,2023-04-27T15:05:00.000,2023-04-27T17:30:00.000
Brussels (Charleroi),Alicante,2023-04-28T00:00:00.000,None,02:25,0,FR~3534~ ~~CRL~04/28/2023 09:45~ALC~04/28/2023 12:10~~,FR 3534,2023-04-28T09:45:00.000,2023-04-28T12:10:00.000
Brussels (Charleroi),Alicante,2023-04-28T00:00:00.000,None,02:25,0,FR~9053~ ~~CRL~04/28/2023 17:20~ALC~04/28/2023 19:45~~,FR 9053,2023-04-28T17:20:00.000,2023-04-28T19:45:00.000
Brussels (Charleroi),Alicante,2023-04-29T00:00:00.000,None,02:25,0,FR~3534~ ~~CRL~04/29/2023 15:50~ALC~04/29/2023 18:15~~,FR 3534,2023-04-29T15:50:00.000,2023-04-29T18:15:00.000
Brussels (Charleroi),Alicante,2023-04-30T00:00:00.000,398.43,02:25,1,FR~3534~ ~~CRL~04/30/2023 09:55~ALC~04/30/2023 12:20~~,FR 3534,2023-04-30T09:55:00.000,2023-04-30T12:20:00.000
Brussels (Charleroi),Alicante,2023-05-01T00:00:00.000,257.49,02:25,1,FR~3534~ ~~CRL~05/01/2023 16:55~ALC~05/01/2023 19:20~~,FR 3534,2023-05-01T16:55:00.000,2023-05-01T19:20:00.000
Brussels (Charleroi),Alicante,2023-05-02T00:00:00.000,236.59,02:25,-1,FR~3534~ ~~CRL~05/02/2023 06:30~ALC~05/02/2023 08:55~~,FR 3534,2023-05-02T06:30:00.000,2023-05-02T08:55:00.000
Brussels (Charleroi),Alicante,2023-05-02T00:00:00.000,236.59,02:25,2,FR~9053~ ~~CRL~05/02/2023 12:15~ALC~05/02/2023 14:40~~,FR 9053,2023-05-02T12:15:00.000,2023-05-02T14:40:00.000
Brussels (Charleroi),Alicante,2023-05-03T00:00:00.000,203.99,02:25,2,FR~3534~ ~~CRL~05/03/2023 10:00~ALC~05/03/2023 12:25~~,FR 3534,2023-05-03T10:00:00.000,2023-05-03T12:25:00.000
Brussels (Charleroi),Alicante,2023-05-03T00:00:00.000,152.59,02:25,4,FR~9053~ ~~CRL~05/03/2023 11:30~ALC~05/03/2023 13:55~~,FR 9053,2023-05-03T11:30:00.000,2023-05-03T13:55:00.000
Brussels (Charleroi),Alicante,2023-05-03T00:00:00.000,180.59,02:25,5,FR~6063~ ~~CRL~05/03/2023 21:55~ALC~05/04/2023 00:20~~,FR 6063,2023-05-03T21:55:00.000,2023-05-04T00:20:00.000
Brussels (Charleroi),Alicante,2023-05-04T00:00:00.000,151.74,02:25,1,FR~9053~ ~~CRL~05/04/2023 09:00~ALC~05/04/2023 11:25~~,FR 9053,2023-05-04T09:00:00.000,2023-05-04T11:25:00.000
Brussels (Charleroi),Alicante,2023-05-04T00:00:00.000,151.74,02:25,4,FR~3534~ ~~CRL~05/04/2023 15:05~ALC~05/04/2023 17:30~~,FR 3534,2023-05-04T15:05:00.000,2023-05-04T17:30:00.000
