flight_id;from_airport;to_airport;departure_date_time;arrival_date_time;marketing_airline_name;flight_number;price;link
BRUALC20230507HV9003;BRU;ALC;2023-05-07T17:25:00;2023-05-07T19:55:00;HV;9003;234.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=ALC&ap=1&cp=0&od=7&om=5&oy=2023&utm_source=API&utm_medium=Public
BRUALC20230509HV9003;BRU;ALC;2023-05-09T17:25:00;2023-05-09T19:55:00;HV;9003;199.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=ALC&ap=1&cp=0&od=9&om=5&oy=2023&utm_source=API&utm_medium=Public
BRUALC20230510HV9003;BRU;ALC;2023-05-10T16:05:00;2023-05-10T18:35:00;HV;9003;182.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=ALC&ap=1&cp=0&od=10&om=5&oy=2023&utm_source=API&utm_medium=Public
BRUALC20230511HV9003;BRU;ALC;2023-05-11T06:50:00;2023-05-11T09:15:00;HV;9003;152.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=ALC&ap=1&cp=0&od=11&om=5&oy=2023&utm_source=API&utm_medium=Public
BRUALC20230513HV9003;BRU;ALC;2023-05-13T16:20:00;2023-05-13T18:50:00;HV;9003;234.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=ALC&ap=1&cp=0&od=13&om=5&oy=2023&utm_source=API&utm_medium=Public
BRUALC20230514HV9003;BRU;ALC;2023-05-14T17:25:00;2023-05-14T19:55:00;HV;9003;199.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=ALC&ap=1&cp=0&od=14&om=5&oy=2023&utm_source=API&utm_medium=Public
BRUALC20230516HV9003;BRU;ALC;2023-05-16T17:25:00;2023-05-16T19:55:00;HV;9003;217.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=ALC&ap=1&cp=0&od=16&om=5&oy=2023&utm_source=API&utm_medium=Public
BRUALC20230517HV9003;BRU;ALC;2023-05-17T16:05:00;2023-05-17T18:35:00;HV;9003;256.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=ALC&ap=1&cp=0&od=17&om=5&oy=2023&utm_source=API&utm_medium=Public
BRUALC20230518HV9003;BRU;ALC;2023-05-18T06:50:00;2023-05-18T09:15:00;HV;9003;279.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=ALC&ap=1&cp=0&od=18&om=5&oy=2023&utm_source=API&utm_medium=Public
BRUALC20230520HV9003;BRU;ALC;2023-05-20T16:20:00;2023-05-20T18:50:00;HV;9003;167.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=ALC&ap=1&cp=0&od=20&om=5&oy=2023&utm_source=API&utm_medium=Public
