Departure Airport Name,Departure Airport Code,Arrival Airport Name,Arrival Airport Code,DepartureTime,ArrivalTime,Flight_duration,TotalStops,Price,AvailableSeats,FlightNumber
Brugge-Oostende,OST,Alicante,ALC,2023-04-06 07:00,2023-04-06 09:50,2u 50m,,134.99,1,1171
Brussel,BRU,Alicante,ALC,2023-04-06 16:25,2023-04-06 19:10,2u 45m,,149.99,1,1113
Antwerpen,ANR,Alicante,ALC,2023-04-07 06:30,2023-04-07 09:10,2u 40m,,199.99,3,1101
Brussel,BRU,Alicante,ALC,2023-04-07 13:15,2023-04-07 16:00,2u 45m,,274.99,1,1113
Brussel,BRU,Alicante,ALC,2023-04-08 17:00,2023-04-08 19:45,2u 45m,,179.99,4,1113
Brugge-Oostende,OST,Alicante,ALC,2023-04-06 07:00,2023-04-06 09:50,2u 50m,,134.99,1,1171
Brussel,BRU,Alicante,ALC,2023-04-06 16:25,2023-04-06 19:10,2u 45m,,149.99,1,1113
Antwerpen,ANR,Alicante,ALC,2023-04-07 06:30,2023-04-07 09:10,2u 40m,,199.99,3,1101
Brussel,BRU,Alicante,ALC,2023-04-07 13:15,2023-04-07 16:00,2u 45m,,274.99,1,1113
Brussel,BRU,Alicante,ALC,2023-04-08 17:00,2023-04-08 19:45,2u 45m,,179.99,4,1113
Brugge-Oostende,OST,Alicante,ALC,2023-04-09 06:00,2023-04-09 08:50,2u 50m,,199.99,4,1183
Brussel,BRU,Alicante,ALC,2023-04-09 06:10,2023-04-09 08:55,2u 45m,,174.99,10,1111
Antwerpen,ANR,Alicante,ALC,2023-04-09 08:30,2023-04-09 11:15,2u 45m,,179.99,10,1101
Antwerpen,ANR,Alicante,ALC,2023-04-09 14:05,2023-04-09 16:45,2u 40m,,149.99,10,1103
Antwerpen,ANR,Alicante,ALC,2023-04-09 15:20,2023-04-09 18:00,2u 40m,,99.99,10,1105
Brussel,BRU,Alicante,ALC,2023-04-09 16:30,2023-04-09 19:15,2u 45m,,159.99,10,1113
Brugge-Oostende,OST,Alicante,ALC,2023-04-06 07:00,2023-04-06 09:50,2u 50m,,134.99,1,1171
Brussel,BRU,Alicante,ALC,2023-04-06 16:25,2023-04-06 19:10,2u 45m,,149.99,1,1113
Antwerpen,ANR,Alicante,ALC,2023-04-07 06:30,2023-04-07 09:10,2u 40m,,199.99,3,1101
Brussel,BRU,Alicante,ALC,2023-04-07 13:15,2023-04-07 16:00,2u 45m,,274.99,1,1113
Brussel,BRU,Alicante,ALC,2023-04-08 17:00,2023-04-08 19:45,2u 45m,,179.99,4,1113
Brugge-Oostende,OST,Alicante,ALC,2023-04-09 06:00,2023-04-09 08:50,2u 50m,,199.99,4,1183
Brussel,BRU,Alicante,ALC,2023-04-09 06:10,2023-04-09 08:55,2u 45m,,174.99,10,1111
Antwerpen,ANR,Alicante,ALC,2023-04-09 08:30,2023-04-09 11:15,2u 45m,,179.99,10,1101
Antwerpen,ANR,Alicante,ALC,2023-04-09 14:05,2023-04-09 16:45,2u 40m,,149.99,10,1103
Antwerpen,ANR,Alicante,ALC,2023-04-09 15:20,2023-04-09 18:00,2u 40m,,99.99,10,1105
Brussel,BRU,Alicante,ALC,2023-04-09 16:30,2023-04-09 19:15,2u 45m,,159.99,10,1113
Luik,LGG,Alicante,ALC,2023-04-10 06:00,2023-04-10 08:45,2u 45m,,99.99,9,1161
Brussel,BRU,Alicante,ALC,2023-04-10 06:05,2023-04-10 08:50,2u 45m,,179.99,3,1111
Antwerpen,ANR,Alicante,ALC,2023-04-10 08:00,2023-04-10 10:40,2u 40m,,144.99,10,1101
Brugge-Oostende,OST,Alicante,ALC,2023-04-10 14:30,2023-04-10 17:20,2u 50m,,199.99,9,1171
Brugge-Oostende,OST,Alicante,ALC,2023-04-06 07:00,2023-04-06 09:50,2u 50m,,134.99,1,1171
Brussel,BRU,Alicante,ALC,2023-04-06 16:25,2023-04-06 19:10,2u 45m,,149.99,1,1113
Antwerpen,ANR,Alicante,ALC,2023-04-07 06:30,2023-04-07 09:10,2u 40m,,199.99,3,1101
Brussel,BRU,Alicante,ALC,2023-04-07 13:15,2023-04-07 16:00,2u 45m,,274.99,1,1113
Brussel,BRU,Alicante,ALC,2023-04-08 17:00,2023-04-08 19:45,2u 45m,,179.99,4,1113
Brugge-Oostende,OST,Alicante,ALC,2023-04-09 06:00,2023-04-09 08:50,2u 50m,,199.99,4,1183
Brussel,BRU,Alicante,ALC,2023-04-09 06:10,2023-04-09 08:55,2u 45m,,174.99,10,1111
Antwerpen,ANR,Alicante,ALC,2023-04-09 08:30,2023-04-09 11:15,2u 45m,,179.99,10,1101
Antwerpen,ANR,Alicante,ALC,2023-04-09 14:05,2023-04-09 16:45,2u 40m,,149.99,10,1103
Antwerpen,ANR,Alicante,ALC,2023-04-09 15:20,2023-04-09 18:00,2u 40m,,99.99,10,1105
Brussel,BRU,Alicante,ALC,2023-04-09 16:30,2023-04-09 19:15,2u 45m,,159.99,10,1113
Luik,LGG,Alicante,ALC,2023-04-10 06:00,2023-04-10 08:45,2u 45m,,99.99,9,1161
Brussel,BRU,Alicante,ALC,2023-04-10 06:05,2023-04-10 08:50,2u 45m,,179.99,3,1111
Antwerpen,ANR,Alicante,ALC,2023-04-10 08:00,2023-04-10 10:40,2u 40m,,144.99,10,1101
Brugge-Oostende,OST,Alicante,ALC,2023-04-10 14:30,2023-04-10 17:20,2u 50m,,199.99,9,1171
Brugge-Oostende,OST,Alicante,ALC,2023-04-11 06:00,2023-04-11 08:50,2u 50m,,144.99,10,1171
Brussel,BRU,Alicante,ALC,2023-04-11 06:15,2023-04-11 09:00,2u 45m,,99.99,10,1135
Antwerpen,ANR,Alicante,ALC,2023-04-11 07:30,2023-04-11 10:10,2u 40m,,99.99,10,1101
Antwerpen,ANR,Alicante,ALC,2023-04-11 08:35,2023-04-11 11:15,2u 40m,,97.99,10,1103
Brugge-Oostende,OST,Alicante,ALC,2023-04-06 07:00,2023-04-06 09:50,2u 50m,,134.99,1,1171
Brussel,BRU,Alicante,ALC,2023-04-06 16:25,2023-04-06 19:10,2u 45m,,149.99,1,1113
Antwerpen,ANR,Alicante,ALC,2023-04-07 06:30,2023-04-07 09:10,2u 40m,,199.99,3,1101
Brussel,BRU,Alicante,ALC,2023-04-07 13:15,2023-04-07 16:00,2u 45m,,274.99,1,1113
Brussel,BRU,Alicante,ALC,2023-04-08 17:00,2023-04-08 19:45,2u 45m,,179.99,4,1113
Brugge-Oostende,OST,Alicante,ALC,2023-04-09 06:00,2023-04-09 08:50,2u 50m,,199.99,4,1183
Brussel,BRU,Alicante,ALC,2023-04-09 06:10,2023-04-09 08:55,2u 45m,,174.99,10,1111
Antwerpen,ANR,Alicante,ALC,2023-04-09 08:30,2023-04-09 11:15,2u 45m,,179.99,10,1101
Antwerpen,ANR,Alicante,ALC,2023-04-09 14:05,2023-04-09 16:45,2u 40m,,149.99,10,1103
Antwerpen,ANR,Alicante,ALC,2023-04-09 15:20,2023-04-09 18:00,2u 40m,,99.99,10,1105
Brussel,BRU,Alicante,ALC,2023-04-09 16:30,2023-04-09 19:15,2u 45m,,159.99,10,1113
Luik,LGG,Alicante,ALC,2023-04-10 06:00,2023-04-10 08:45,2u 45m,,99.99,9,1161
Brussel,BRU,Alicante,ALC,2023-04-10 06:05,2023-04-10 08:50,2u 45m,,179.99,3,1111
Antwerpen,ANR,Alicante,ALC,2023-04-10 08:00,2023-04-10 10:40,2u 40m,,144.99,10,1101
Brugge-Oostende,OST,Alicante,ALC,2023-04-10 14:30,2023-04-10 17:20,2u 50m,,199.99,9,1171
Brugge-Oostende,OST,Alicante,ALC,2023-04-11 06:00,2023-04-11 08:50,2u 50m,,144.99,10,1171
Brussel,BRU,Alicante,ALC,2023-04-11 06:15,2023-04-11 09:00,2u 45m,,99.99,10,1135
Antwerpen,ANR,Alicante,ALC,2023-04-11 07:30,2023-04-11 10:10,2u 40m,,99.99,10,1101
Antwerpen,ANR,Alicante,ALC,2023-04-11 08:35,2023-04-11 11:15,2u 40m,,97.99,10,1103
Brugge-Oostende,OST,Alicante,ALC,2023-04-12 06:00,2023-04-12 08:50,2u 50m,,79.99,10,1171
Brussel,BRU,Alicante,ALC,2023-04-12 06:05,2023-04-12 08:50,2u 45m,,59.99,10,1111
Brussel,BRU,Alicante,ALC,2023-04-12 06:10,2023-04-12 08:55,2u 45m,,59.99,8,1113
Antwerpen,ANR,Alicante,ALC,2023-04-12 06:30,2023-04-12 09:10,2u 40m,,124.99,10,1101
Antwerpen,ANR,Alicante,ALC,2023-04-07 06:30,2023-04-07 09:10,2u 40m,,199.99,3,1101
Brussel,BRU,Alicante,ALC,2023-04-07 13:15,2023-04-07 16:00,2u 45m,,274.99,1,1113
Brussel,BRU,Alicante,ALC,2023-04-08 17:00,2023-04-08 19:45,2u 45m,,179.99,4,1113
Brugge-Oostende,OST,Alicante,ALC,2023-04-09 06:00,2023-04-09 08:50,2u 50m,,199.99,4,1183
Brussel,BRU,Alicante,ALC,2023-04-09 06:10,2023-04-09 08:55,2u 45m,,174.99,10,1111
Antwerpen,ANR,Alicante,ALC,2023-04-09 08:30,2023-04-09 11:15,2u 45m,,179.99,10,1101
Antwerpen,ANR,Alicante,ALC,2023-04-09 14:05,2023-04-09 16:45,2u 40m,,149.99,10,1103
Antwerpen,ANR,Alicante,ALC,2023-04-09 15:20,2023-04-09 18:00,2u 40m,,99.99,10,1105
Brussel,BRU,Alicante,ALC,2023-04-09 16:30,2023-04-09 19:15,2u 45m,,159.99,10,1113
Luik,LGG,Alicante,ALC,2023-04-10 06:00,2023-04-10 08:45,2u 45m,,99.99,9,1161
Brussel,BRU,Alicante,ALC,2023-04-10 06:05,2023-04-10 08:50,2u 45m,,179.99,3,1111
Antwerpen,ANR,Alicante,ALC,2023-04-10 08:00,2023-04-10 10:40,2u 40m,,144.99,10,1101
Brugge-Oostende,OST,Alicante,ALC,2023-04-10 14:30,2023-04-10 17:20,2u 50m,,199.99,9,1171
Brugge-Oostende,OST,Alicante,ALC,2023-04-11 06:00,2023-04-11 08:50,2u 50m,,144.99,10,1171
Brussel,BRU,Alicante,ALC,2023-04-11 06:15,2023-04-11 09:00,2u 45m,,99.99,10,1135
Antwerpen,ANR,Alicante,ALC,2023-04-11 07:30,2023-04-11 10:10,2u 40m,,99.99,10,1101
Antwerpen,ANR,Alicante,ALC,2023-04-11 08:35,2023-04-11 11:15,2u 40m,,97.99,10,1103
Brugge-Oostende,OST,Alicante,ALC,2023-04-12 06:00,2023-04-12 08:50,2u 50m,,79.99,10,1171
Brussel,BRU,Alicante,ALC,2023-04-12 06:05,2023-04-12 08:50,2u 45m,,59.99,10,1111
Brussel,BRU,Alicante,ALC,2023-04-12 06:10,2023-04-12 08:55,2u 45m,,59.99,8,1113
Antwerpen,ANR,Alicante,ALC,2023-04-12 06:30,2023-04-12 09:10,2u 40m,,124.99,10,1101
Brussel,BRU,Alicante,ALC,2023-04-13 06:05,2023-04-13 08:50,2u 45m,,59.99,12,1111
Brugge-Oostende,OST,Alicante,ALC,2023-04-13 07:00,2023-04-13 09:50,2u 50m,,69.99,10,1171
Antwerpen,ANR,Alicante,ALC,2023-04-13 15:30,2023-04-13 18:10,2u 40m,,99.99,10,1103
Brussel,BRU,Alicante,ALC,2023-04-13 16:25,2023-04-13 19:10,2u 45m,,109.99,10,1113
Brussel,BRU,Alicante,ALC,2023-04-08 17:00,2023-04-08 19:45,2u 45m,,179.99,4,1113
Brugge-Oostende,OST,Alicante,ALC,2023-04-09 06:00,2023-04-09 08:50,2u 50m,,199.99,4,1183
Brussel,BRU,Alicante,ALC,2023-04-09 06:10,2023-04-09 08:55,2u 45m,,174.99,10,1111
Antwerpen,ANR,Alicante,ALC,2023-04-09 08:30,2023-04-09 11:15,2u 45m,,179.99,10,1101
Antwerpen,ANR,Alicante,ALC,2023-04-09 14:05,2023-04-09 16:45,2u 40m,,149.99,10,1103
Antwerpen,ANR,Alicante,ALC,2023-04-09 15:20,2023-04-09 18:00,2u 40m,,99.99,10,1105
Brussel,BRU,Alicante,ALC,2023-04-09 16:30,2023-04-09 19:15,2u 45m,,159.99,10,1113
