Departure Airport Name,Departure Airport Code,Arrival Airport Name,Arrival Airport Code,DepartureTime,ArrivalTime,Flight_duration,TotalStops,Price,AvailableSeats,FlightNumber
Brugge-Oostende,OST,Alicante,ALC,2023-04-04 06:00,2023-04-04 08:50,2u 50m,,99.99,5,1171
Brussel,BRU,Alicante,ALC,2023-04-04 06:15,2023-04-04 09:00,2u 45m,,149.99,1,1135
Brugge-Oostende,OST,Alicante,ALC,2023-04-05 06:00,2023-04-05 08:50,2u 50m,,164.99,10,1171
Brussel,BRU,Alicante,ALC,2023-04-05 06:05,2023-04-05 08:50,2u 45m,,179.99,10,1111
Brussel,BRU,Alicante,ALC,2023-04-05 06:10,2023-04-05 08:55,2u 45m,,179.99,10,1113
Antwerpen,ANR,Alicante,ALC,2023-04-05 06:30,2023-04-05 09:10,2u 40m,,179.99,8,1101
Brussel,BRU,Alicante,ALC,2023-04-06 06:05,2023-04-06 08:50,2u 45m,,189.99,10,1111
Brugge-Oostende,OST,Alicante,ALC,2023-04-06 07:00,2023-04-06 09:50,2u 50m,,154.99,10,1171
Antwerpen,ANR,Alicante,ALC,2023-04-06 15:30,2023-04-06 18:10,2u 40m,,209.99,1,1103
Brussel,BRU,Alicante,ALC,2023-04-06 16:25,2023-04-06 19:10,2u 45m,,164.99,9,1113
Brugge-Oostende,OST,Alicante,ALC,2023-04-04 06:00,2023-04-04 08:50,2u 50m,,99.99,5,1171
Brussel,BRU,Alicante,ALC,2023-04-04 06:15,2023-04-04 09:00,2u 45m,,149.99,1,1135
Brugge-Oostende,OST,Alicante,ALC,2023-04-05 06:00,2023-04-05 08:50,2u 50m,,164.99,10,1171
Brussel,BRU,Alicante,ALC,2023-04-05 06:05,2023-04-05 08:50,2u 45m,,179.99,10,1111
Brussel,BRU,Alicante,ALC,2023-04-05 06:10,2023-04-05 08:55,2u 45m,,179.99,10,1113
Antwerpen,ANR,Alicante,ALC,2023-04-05 06:30,2023-04-05 09:10,2u 40m,,179.99,8,1101
Brussel,BRU,Alicante,ALC,2023-04-06 06:05,2023-04-06 08:50,2u 45m,,189.99,10,1111
Brugge-Oostende,OST,Alicante,ALC,2023-04-06 07:00,2023-04-06 09:50,2u 50m,,154.99,10,1171
Antwerpen,ANR,Alicante,ALC,2023-04-06 15:30,2023-04-06 18:10,2u 40m,,209.99,1,1103
