originName, destinationName, dateOut, prijs, flightDuration, plaatsenOver, flightKey, flightNumber, timeOut, timeArrival
Brussels (Charleroi),Alicante,2023-03-31T00:00:00.000,257.49,02:25,1,FR~3534~ ~~CRL~03/31/2023 09:45~ALC~03/31/2023 12:10~~,FR 3534,2023-03-31T09:45:00.000,2023-03-31T12:10:00.000
Brussels (Charleroi),Alicante,2023-03-31T00:00:00.000,None,02:25,0,FR~9053~ ~~CRL~03/31/2023 17:20~ALC~03/31/2023 19:45~~,FR 9053,2023-03-31T17:20:00.000,2023-03-31T19:45:00.000
Brussels (Charleroi),Alicante,2023-04-01T00:00:00.000,None,02:25,0,FR~3534~ ~~CRL~04/01/2023 15:50~ALC~04/01/2023 18:15~~,FR 3534,2023-04-01T15:50:00.000,2023-04-01T18:15:00.000
Brussels (Charleroi),Alicante,2023-04-02T00:00:00.000,None,02:25,0,FR~3534~ ~~CRL~04/02/2023 09:55~ALC~04/02/2023 12:20~~,FR 3534,2023-04-02T09:55:00.000,2023-04-02T12:20:00.000
Brussels (Charleroi),Alicante,2023-04-03T00:00:00.000,234.79,02:25,4,FR~3534~ ~~CRL~04/03/2023 16:55~ALC~04/03/2023 19:20~~,FR 3534,2023-04-03T16:55:00.000,2023-04-03T19:20:00.000
Brussels (Charleroi),Alicante,2023-04-04T00:00:00.000,156.27,02:25,2,FR~3534~ ~~CRL~04/04/2023 06:30~ALC~04/04/2023 08:55~~,FR 3534,2023-04-04T06:30:00.000,2023-04-04T08:55:00.000
Brussels (Charleroi),Alicante,2023-04-04T00:00:00.000,124.19,02:25,1,FR~9053~ ~~CRL~04/04/2023 12:15~ALC~04/04/2023 14:40~~,FR 9053,2023-04-04T12:15:00.000,2023-04-04T14:40:00.000
Brussels (Charleroi),Alicante,2023-04-05T00:00:00.000,135.64,02:25,1,FR~3534~ ~~CRL~04/05/2023 10:00~ALC~04/05/2023 12:25~~,FR 3534,2023-04-05T10:00:00.000,2023-04-05T12:25:00.000
Brussels (Charleroi),Alicante,2023-04-05T00:00:00.000,116.79,02:25,2,FR~9053~ ~~CRL~04/05/2023 14:45~ALC~04/05/2023 17:10~~,FR 9053,2023-04-05T14:45:00.000,2023-04-05T17:10:00.000
Brussels (Charleroi),Alicante,2023-04-05T00:00:00.000,89.74,02:25,3,FR~6063~ ~~CRL~04/05/2023 21:55~ALC~04/06/2023 00:20~~,FR 6063,2023-04-05T21:55:00.000,2023-04-06T00:20:00.000
Brussels (Charleroi),Alicante,2023-04-06T00:00:00.000,180.19,02:25,4,FR~9053~ ~~CRL~04/06/2023 09:00~ALC~04/06/2023 11:25~~,FR 9053,2023-04-06T09:00:00.000,2023-04-06T11:25:00.000
Brussels (Charleroi),Alicante,2023-04-06T00:00:00.000,135.64,02:25,5,FR~3534~ ~~CRL~04/06/2023 15:05~ALC~04/06/2023 17:30~~,FR 3534,2023-04-06T15:05:00.000,2023-04-06T17:30:00.000
Brussels (Charleroi),Alicante,2023-04-07T00:00:00.000,150.79,02:25,-1,FR~3534~ ~~CRL~04/07/2023 09:45~ALC~04/07/2023 12:10~~,FR 3534,2023-04-07T09:45:00.000,2023-04-07T12:10:00.000
Brussels (Charleroi),Alicante,2023-04-07T00:00:00.000,155.09,02:25,5,FR~9053~ ~~CRL~04/07/2023 17:20~ALC~04/07/2023 19:45~~,FR 9053,2023-04-07T17:20:00.000,2023-04-07T19:45:00.000
